window_length,client_id,network_class,source_name,role,total_hours,train_hours,val_hours,test_hours,train_windows,val_windows,test_windows,probe_windows,probe_viable
24,0,Internet2,atlanta,train_client,1369,958,205,206,935,182,183,,
24,1,Internet2,batonrouge,train_client,1343,940,201,202,917,178,179,,
24,2,Internet2,boston,train_client,789,552,118,119,529,95,96,,
24,3,Internet2,dallas,train_client,1322,925,198,199,902,175,176,,
24,4,Internet2,elpaso,train_client,1378,964,207,207,941,184,184,,
24,5,Internet2,jackson,train_client,1369,958,205,206,935,182,183,,
24,6,Internet2,jacksonville,train_client,1338,936,201,201,913,178,178,,
24,7,Internet2,louisville,train_client,1466,1026,220,220,1003,197,197,,
24,8,Internet2,phoenix,train_client,1369,958,205,206,935,182,183,,
24,9,Internet2,reno,train_client,861,602,129,130,579,106,107,,
24,10,CESNET3,inst2,train_client,1512,1058,227,227,1035,204,204,,
24,11,CESNET3,inst0,train_client,1512,1058,227,227,1035,204,204,,
24,12,CESNET3,inst49,train_client,1512,1058,227,227,1035,204,204,,
24,13,CESNET3,inst1,train_client,1512,1058,227,227,1035,204,204,,
24,14,CESNET3,inst48,train_client,1512,1058,227,227,1035,204,204,,
24,15,CESNET3,inst3,train_client,1512,1058,227,227,1035,204,204,,
24,16,CESNET3,inst61,train_client,1512,1058,227,227,1035,204,204,,
24,17,CESNET3,inst53,train_client,1512,1058,227,227,1035,204,204,,
24,18,CESNET3,inst57,train_client,1512,1058,227,227,1035,204,204,,
24,19,CESNET3,inst50,train_client,1512,1058,227,227,1035,204,204,,
24,-1,ALLO,allo,holdout_probe,48,0,0,0,0,0,0,25.0,True
