Client,Network,Train windows,Centralized MAE,Federated MAE,Local-only MAE,Benefit (%)
boston,Internet2,529,0.4249235808849335,0.4324017882347107,1.2988430261611938,66.7086953907972
dallas,Internet2,902,0.05853937193751335,0.05395708680152893,0.12540791630744935,56.9747362126263
louisville,Internet2,1003,0.0506379172205925,0.04624750316143036,0.06342465505003929,27.082767537414128
elpaso,Internet2,941,0.13292356431484223,0.1294923633337021,0.17637370228767396,26.5806854116529
reno,Internet2,579,0.1025587722659111,0.1013745829463005,0.11352034211158753,10.699191827089512
phoenix,Internet2,935,0.345758056640625,0.34415835738182066,0.3727766990661621,7.677073635780586
atlanta,Internet2,935,0.4280067324638367,0.42190501689910886,0.4566913664340973,7.6170368199873275
inst1,CESNET3,1035,0.24533728659152984,0.24300048351287842,0.25587294697761537,5.03080283272896
jackson,Internet2,935,0.3287328898906708,0.31943119764328004,0.33543174266815184,4.770134423652745
batonrouge,Internet2,917,0.12674887776374816,0.12388506531715393,0.12974406480789186,4.5158131120781295
inst61,CESNET3,1035,0.32514962553977966,0.32164539098739625,0.3341376781463623,3.738664621202658
jacksonville,Internet2,913,0.26886679530143737,0.2697996497154236,0.2797934770584106,3.5718585894340538
inst53,CESNET3,1035,0.1994446724653244,0.20083078145980834,0.20794300436973573,3.4202751525516124
inst50,CESNET3,1035,0.19958385229110717,0.19936677515506745,0.2061387836933136,3.2851695430207384
inst48,CESNET3,1035,0.26497976779937743,0.26499911546707156,0.271966814994812,2.561966807558257
inst2,CESNET3,1035,0.4913147330284119,0.492521607875824,0.49853954315185545,1.2071129278903325
inst3,CESNET3,1035,0.19667081236839296,0.19633157849311828,0.19689351618289946,0.2854018256544266
inst49,CESNET3,1035,0.4083373248577118,0.4054140567779541,0.4042233467102051,-0.29456736664016925
inst57,CESNET3,1035,0.2687427461147308,0.2700079560279846,0.26717764139175415,-1.0593381322954554
inst0,CESNET3,1035,0.17159755527973175,0.1711450606584549,0.16344541013240815,-4.710839245843124
